,time,4T,5S,5W,4W,4S,direction
411,1681796667.5,1,1,1,0,1,0
412,1681796717.5,1,1,1,0,1,0
413,1681796767.5,1,1,1,0,1,0
414,1681796817.5,1,1,1,0,1,0
415,1681796867.5,1,1,1,0,1,0
416,1681796917.5,1,1,1,0,1,0
417,1681796967.5,1,1,1,0,1,0
418,1681797017.5,1,1,1,0,1,0
419,1681797067.5,1,1,1,0,1,0
420,1681797117.5,1,1,1,0,1,0
421,1681797167.5,1,1,1,0,1,0
422,1681797217.5,1,1,1,0,1,0
423,1681797267.5,1,1,1,0,1,0
424,1681797317.5,1,1,1,0,1,0
425,1681797367.5,1,1,1,0,1,0
426,1681797417.5,1,1,1,0,1,0
427,1681797467.5,1,1,1,0,1,0
428,1681797517.5,1,1,1,0,1,0
429,1681797567.5,1,1,1,0,1,0
430,1681797617.5,1,1,1,0,1,0
431,1681797667.5,1,1,1,0,1,0
432,1681797717.5,1,1,1,0,1,0
433,1681797767.5,1,1,1,0,1,0
434,1681797817.5,1,1,1,0,1,0
435,1681797867.5,1,1,1,0,1,0
436,1681797917.5,1,1,1,0,1,0
437,1681797967.5,1,1,1,0,1,0
438,1681798017.5,1,1,1,0,1,0
439,1681798067.5,1,1,1,0,1,0
440,1681798117.5,1,1,1,0,1,0
441,1681798167.5,1,1,1,0,1,0
442,1681798217.5,1,1,1,0,1,0
443,1681798267.5,1,1,1,0,1,0
444,1681798317.5,1,1,1,0,1,0
445,1681798367.5,1,1,1,0,1,0
446,1681798417.5,1,1,1,0,1,0
447,1681798467.5,1,1,1,0,1,0
448,1681798517.5,1,1,1,0,1,0
449,1681798567.5,1,1,1,0,1,0
450,1681798617.5,1,1,1,0,1,1
451,1681798667.5,1,1,1,0,1,1
452,1681798717.5,1,1,1,0,1,1
453,1681798767.5,1,1,1,0,1,1
454,1681798817.5,1,1,1,0,1,1
455,1681798867.5,1,1,1,0,1,1
456,1681798917.5,1,1,1,0,1,1
457,1681798967.5,1,1,1,0,1,1
458,1681799017.5,1,1,1,0,1,1
459,1681799067.5,1,1,1,0,1,1
460,1681799117.5,1,1,1,0,1,1
461,1681799167.5,1,1,1,0,1,1
462,1681799217.5,1,1,1,0,1,1
463,1681799267.5,1,1,1,0,1,1
464,1681799317.5,1,1,1,0,1,1
465,1681799367.5,1,1,1,0,1,1
466,1681799417.5,1,1,1,0,1,1
467,1681799467.5,1,1,1,0,1,1
468,1681799517.5,1,1,1,0,1,1
469,1681799567.5,1,1,1,0,1,1
470,1681799617.5,1,1,1,0,1,1
471,1681799667.5,1,1,1,0,1,1
472,1681799717.5,1,1,1,0,1,1
473,1681799767.5,1,1,1,0,1,1
474,1681799817.5,1,1,1,0,1,1
475,1681799867.5,1,1,1,0,1,1
476,1681799917.5,1,1,1,0,1,1
477,1681799967.5,1,1,1,0,1,1
478,1681800017.5,1,1,1,0,1,1
479,1681800067.5,1,1,1,0,1,1
480,1681800117.5,1,1,1,0,1,1
481,1681800167.5,1,1,1,0,1,1
482,1681800217.5,1,1,1,0,1,1
483,1681800267.5,1,1,1,0,1,1
484,1681800317.5,1,1,1,0,1,1
485,1681800367.5,1,1,1,0,1,1
486,1681800417.5,1,1,1,0,1,1
487,1681800467.5,1,1,1,0,1,1
488,1681800517.5,1,1,1,0,1,1
489,1681800567.5,1,1,1,0,1,1
490,1681800617.5,1,1,1,0,1,1
491,1681800667.5,1,1,1,0,1,1
492,1681800717.5,1,1,1,0,1,1
493,1681800767.5,1,1,1,0,1,1
494,1681800817.5,1,1,1,0,1,1
495,1681800867.5,1,1,1,0,1,1
496,1681800917.5,1,1,1,0,1,1
497,1681800967.5,1,1,1,0,1,1
498,1681801017.5,1,1,1,0,1,1
499,1681801067.5,1,1,1,0,1,1
500,1681801117.5,1,1,1,0,1,0
501,1681801167.5,1,1,1,0,1,0
502,1681801217.5,1,1,1,0,1,0
503,1681801267.5,1,1,1,0,1,0
504,1681801317.5,1,1,1,0,1,0
505,1681801367.5,1,1,1,0,1,0
506,1681801417.5,1,1,1,0,1,0
507,1681801467.5,1,1,1,0,1,0
508,1681801517.5,1,1,1,0,1,0
509,1681801567.5,1,1,1,0,1,0
510,1681801617.5,1,1,1,0,1,0
511,1681801667.5,1,1,1,0,1,0
512,1681801717.5,1,1,1,0,1,0
513,1681801767.5,1,1,1,0,1,0
514,1681801817.5,1,1,1,0,1,0
515,1681801867.5,1,1,1,0,1,0
516,1681801917.5,1,1,1,0,1,0
517,1681801967.5,1,1,1,0,1,0
518,1681802017.5,1,1,1,0,1,0
519,1681802067.5,1,1,1,0,1,0
520,1681802117.5,1,1,1,0,1,0
521,1681802167.5,1,1,1,0,1,0
522,1681802217.5,1,1,1,0,1,0
523,1681802267.5,1,1,1,0,1,0
524,1681802317.5,1,1,1,0,1,0
525,1681802367.5,1,1,1,0,1,0
526,1681802417.5,1,1,1,0,1,0
527,1681802467.5,1,1,1,0,1,0
528,1681802517.5,1,1,1,0,1,0
529,1681802567.5,1,1,1,0,1,0
530,1681802617.5,1,1,1,0,1,0
531,1681802667.5,1,1,1,0,1,0
532,1681802717.5,1,1,1,0,1,0
533,1681802767.5,1,1,1,0,1,0
534,1681802817.5,1,1,1,0,1,0
535,1681802867.5,1,1,1,0,1,0
536,1681802917.5,1,1,1,0,1,0
537,1681802967.5,1,1,1,0,1,0
538,1681803017.5,1,1,1,0,1,0
539,1681803067.5,1,1,1,0,1,0
540,1681803117.5,1,1,1,0,1,0
541,1681803167.5,1,1,1,0,1,0
542,1681803217.5,1,1,1,0,1,0
543,1681803267.5,1,1,1,0,1,0
544,1681803317.5,1,1,1,0,1,0
545,1681803367.5,1,1,1,0,1,0
546,1681803417.5,1,1,1,0,1,0
547,1681803467.5,1,1,1,0,1,0
548,1681803517.5,1,1,1,0,1,0
549,1681803567.5,1,1,1,0,1,0
550,1681803617.5,1,1,1,0,1,1
551,1681803667.5,1,1,1,0,1,1
552,1681803717.5,1,1,1,0,1,1
553,1681803767.5,1,1,1,0,1,1
554,1681803817.5,0,0,0,0,0,1
555,1681803867.5,0,0,0,0,0,1
556,1681803917.5,0,0,0,0,0,1
557,1681803967.5,0,0,0,0,0,1
558,1681804017.5,0,0,0,0,0,1
559,1681804067.5,0,0,0,0,0,1
560,1681804117.5,0,0,0,0,0,1
561,1681804167.5,0,0,0,0,0,1
562,1681804217.5,0,0,0,0,0,1
563,1681804267.5,0,0,0,0,0,1
564,1681804317.5,0,0,0,0,0,1
565,1681804367.5,0,0,0,0,0,1
566,1681804417.5,0,0,0,0,0,1
567,1681804467.5,0,0,0,0,0,1
568,1681804517.5,0,0,0,0,0,1
569,1681804567.5,0,0,0,0,0,1
570,1681804617.5,0,0,0,0,0,1
571,1681804667.5,0,0,0,0,0,1
572,1681804717.5,0,0,0,0,0,1
573,1681804767.5,0,0,0,0,0,1
574,1681804817.5,0,0,0,0,0,1
575,1681804867.5,0,0,0,0,0,1
576,1681804917.5,0,0,0,0,0,1
577,1681804967.5,0,0,0,0,0,1
578,1681805017.5,0,0,0,0,0,1
579,1681805067.5,0,0,0,0,0,1
580,1681805117.5,0,0,0,0,0,1
581,1681805167.5,0,0,0,0,0,1
582,1681805217.5,0,0,0,0,0,1
583,1681805267.5,0,0,0,0,0,1
584,1681805317.5,0,0,0,0,0,1
585,1681805367.5,0,0,0,0,0,1
586,1681805417.5,0,0,0,0,0,1
587,1681805467.5,0,0,0,0,0,1
588,1681805517.5,0,0,0,0,0,1
589,1681805567.5,0,0,0,0,0,1
590,1681805617.5,0,0,0,0,0,1
591,1681805667.5,0,0,0,0,0,1
592,1681805717.5,0,0,0,0,0,1
593,1681805767.5,0,0,0,0,0,1
594,1681805817.5,0,0,0,0,0,1
595,1681805867.5,0,0,0,0,0,1
596,1681805917.5,0,0,0,0,0,1
597,1681805967.5,0,0,0,0,0,1
598,1681806017.5,0,0,0,0,0,1
599,1681806067.5,0,0,0,0,0,1
600,1681806117.5,0,0,0,0,0,0
601,1681806167.5,0,0,0,0,0,0
602,1681806217.5,0,0,0,0,0,0
603,1681806267.5,0,0,0,0,0,0
604,1681806317.5,0,0,0,0,0,0
605,1681806367.5,0,0,0,0,0,0
606,1681806417.5,0,0,0,0,0,0
607,1681806467.5,0,0,0,0,0,0
608,1681806517.5,0,0,0,0,0,0
609,1681806567.5,0,0,0,0,0,0
610,1681806617.5,0,0,0,0,0,0
611,1681806667.5,0,0,0,0,0,0
612,1681806717.5,0,0,0,0,0,0
